trial_id,gt_color,status,matched_color,bbox,sphere_positions,projected
0,red,SUCCESS,red,"[233, 276, 335, 380]","{'red': (0.5766049131828697, -0.1245223061649605, 0.15854563484587622), 'green': (0.46779684402149085, 0.006275089554311386, 0.1638738309738178), 'blue': (0.5354105307898104, 0.007523366443370649, 0.19783822736949605), 'yellow': (0.592208091404764, 0.01230608215265247, 0.12149935058512971), 'black': (0.5848017033700923, 0.06253478407654026, 0.1880930080461189), 'pink': (0.5112489029931018, 0.054081323232864964, 0.12720623189728827)}","[{'color': 'red', 'id': 2, 'px': 254, 'py': 357, 'depth': 0.9791302169989375}, {'color': 'green', 'id': 3, 'px': 322, 'py': 314, 'depth': 0.9828287782153068}, {'color': 'blue', 'id': 4, 'px': 323, 'py': 326, 'depth': 0.9797421416027738}, {'color': 'yellow', 'id': 5, 'px': 326, 'py': 377, 'depth': 0.9794646145946756}, {'color': 'black', 'id': 6, 'px': 354, 'py': 350, 'depth': 0.9779973820983201}, {'color': 'pink', 'id': 7, 'px': 345, 'py': 341, 'depth': 0.9822085767462174}]"
1,yellow,NO_PROJECTION_MATCH,,"[289, 328, 301, 341]","{'red': (0.4665076815280073, 0.1345738797233715, 0.14343841715544958), 'green': (0.5255345940436724, -0.11151209114649434, 0.1718091231865596), 'blue': (0.5994288788381924, -0.061814468938537884, 0.1775415065000963), 'yellow': (0.5011653272705539, -0.022751820350014246, 0.17512840125442422), 'black': (0.5973645643865308, 0.05846292677055806, 0.12599643690382054), 'pink': (0.6214475308861173, -0.113429717207762, 0.12035737131208227)}","[{'color': 'red', 'id': 2, 'px': 381, 'py': 320, 'depth': 0.9832718652510017}, {'color': 'green', 'id': 3, 'px': 264, 'py': 332, 'depth': 0.9807351876991782}, {'color': 'blue', 'id': 4, 'px': 285, 'py': 361, 'depth': 0.9776609596958856}, {'color': 'yellow', 'id': 5, 'px': 308, 'py': 321, 'depth': 0.9815103526559019}, {'color': 'black', 'id': 6, 'px': 350, 'py': 377, 'depth': 0.9791460540350204}, {'color': 'pink', 'id': 7, 'px': 258, 'py': 391, 'depth': 0.9783106603565653}]"
2,red,SUCCESS,red,"[324, 370, 361, 413]","{'red': (0.6433465764643306, 0.04728899142752632, 0.165661184224795), 'green': (0.5227037944664409, 0.0922161530991843, 0.12000931050570668), 'blue': (0.6228814520551798, 0.09725476890770623, 0.1943547683631629), 'yellow': (0.6458604062471505, -0.11167011380843198, 0.19355501324211663), 'black': (0.649441847438876, -0.1325410781763109, 0.16362868085680865), 'pink': (0.6279344939107133, 0.08356861415753628, 0.13125763733145543)}","[{'color': 'red', 'id': 2, 'px': 347, 'py': 387, 'depth': 0.9759956303970374}, {'color': 'green', 'id': 3, 'px': 364, 'py': 348, 'depth': 0.9819877145980019}, {'color': 'blue', 'id': 4, 'px': 376, 'py': 366, 'depth': 0.9760831711607267}, {'color': 'yellow', 'id': 5, 'px': 253, 'py': 378, 'depth': 0.9749667663791824}, {'color': 'black', 'id': 6, 'px': 242, 'py': 391, 'depth': 0.9757631046535966}, {'color': 'pink', 'id': 7, 'px': 366, 'py': 391, 'depth': 0.9777299042770108}]"
3,pink,WRONG_MATCH,blue,"[225, 269, 367, 416]","{'red': (0.6009778811460045, 0.034462287207306125, 0.12808259560604515), 'green': (0.5122030712264193, -0.10920658489208887, 0.1867650649367143), 'blue': (0.6296100097878138, -0.13138764844394496, 0.13023878289451843), 'yellow': (0.5216464091907789, 0.08953556272964633, 0.13572686455469235), 'black': (0.542360194067186, 0.021649194035912117, 0.12014242025844184), 'pink': (0.49476257831543025, -0.06645039480879736, 0.15137078819990823)}","[{'color': 'red', 'id': 2, 'px': 338, 'py': 378, 'depth': 0.9789468073200742}, {'color': 'green', 'id': 3, 'px': 265, 'py': 321, 'depth': 0.9808640315168532}, {'color': 'blue', 'id': 4, 'px': 247, 'py': 392, 'depth': 0.9776856927991932}, {'color': 'yellow', 'id': 5, 'px': 363, 'py': 342, 'depth': 0.9816835891326273}, {'color': 'black', 'id': 6, 'px': 330, 'py': 355, 'depth': 0.98132383680644}, {'color': 'pink', 'id': 7, 'px': 288, 'py': 327, 'depth': 0.9822337538739139}]"
4,yellow,SUCCESS,yellow,"[273, 312, 309, 348]","{'red': (0.5064757903328287, 0.04950582102245857, 0.18150125572121853), 'green': (0.5506206365176067, -0.07150458732359553, 0.1411034768737328), 'blue': (0.5507211261030283, -0.14697040904676523, 0.13216095241513853), 'yellow': (0.5250972097007309, -0.05247590245299062, 0.17725318210927796), 'black': (0.5100284405585627, 0.0574745384463306, 0.127704921996444), 'pink': (0.5110304653328684, 0.016347690392938596, 0.1892992482639957)}","[{'color': 'red', 'id': 2, 'px': 344, 'py': 321, 'depth': 0.9811855276045282}, {'color': 'green', 'id': 3, 'px': 284, 'py': 352, 'depth': 0.9805502282944024}, {'color': 'blue', 'id': 4, 'px': 246, 'py': 355, 'depth': 0.9807561351410143}, {'color': 'yellow', 'id': 5, 'px': 293, 'py': 330, 'depth': 0.9806235945776928}, {'color': 'black', 'id': 6, 'px': 347, 'py': 340, 'depth': 0.9822375280016302}, {'color': 'pink', 'id': 7, 'px': 328, 'py': 320, 'depth': 0.980847157638724}]"
5,yellow,WRONG_MATCH,pink,"[297, 349, 333, 380]","{'red': (0.46185192578849815, -0.08750211720180356, 0.19618721699340488), 'green': (0.5699868144118408, 0.12923506162154755, 0.12851415860863658), 'blue': (0.5212507940593083, -0.04073351061794463, 0.1313607181760069), 'yellow': (0.5728439237952445, -0.0026483677193505084, 0.1598154866202425), 'black': (0.48884125271342294, 0.13701787029261034, 0.17946857812897507), 'pink': (0.5832261713592242, 0.013591176371146818, 0.16810244688101253)}","[{'color': 'red', 'id': 2, 'px': 278, 'py': 300, 'depth': 0.9823552217784127}, {'color': 'green', 'id': 3, 'px': 385, 'py': 364, 'depth': 0.9801386106883266}, {'color': 'blue', 'id': 4, 'px': 300, 'py': 344, 'depth': 0.9817917111196904}, {'color': 'yellow', 'id': 5, 'px': 318, 'py': 355, 'depth': 0.9792468447120224}, {'color': 'black', 'id': 6, 'px': 385, 'py': 315, 'depth': 0.9818296141280827}, {'color': 'pink', 'id': 7, 'px': 327, 'py': 357, 'depth': 0.9786098243559311}]"
6,green,SUCCESS,green,"[269, 308, 299, 340]","{'red': (0.47107485624267564, 0.04784678529582986, 0.16393251653099605), 'green': (0.5045005698126009, -0.06287732050396315, 0.18331460172801844), 'blue': (0.5886839871902074, -0.08814505138105759, 0.1831437904036391), 'yellow': (0.6057777761508656, -0.046291006043769053, 0.1586618413080764), 'black': (0.5326129587165781, 0.017090635479240945, 0.1824097625734724), 'pink': (0.4908571044609813, 0.11156299385283655, 0.19480857380370364)}","[{'color': 'red', 'id': 2, 'px': 342, 'py': 315, 'depth': 0.9827258900848044}, {'color': 'green', 'id': 3, 'px': 289, 'py': 320, 'depth': 0.9812131841236824}, {'color': 'blue', 'id': 4, 'px': 271, 'py': 354, 'depth': 0.9779688455729135}, {'color': 'yellow', 'id': 5, 'px': 294, 'py': 370, 'depth': 0.9779180839108582}, {'color': 'black', 'id': 6, 'px': 328, 'py': 331, 'depth': 0.9802257502823741}, {'color': 'pink', 'id': 7, 'px': 374, 'py': 311, 'depth': 0.9814257095573504}]"
7,yellow,SUCCESS,yellow,"[248, 292, 352, 400]","{'red': (0.5680914171679723, 0.017249420180524028, 0.13267401459495679), 'green': (0.48290152888487264, 0.08990419474360656, 0.1601044305590126), 'blue': (0.6121441477111055, 0.04546192486085057, 0.12416382271359976), 'yellow': (0.6147024884906735, -0.08992818281835349, 0.1542108459015234), 'black': (0.4731945726200887, 0.021352280141127222, 0.15613755397030143), 'pink': (0.5022803124307595, -0.07396311671934562, 0.1638297335512809)}","[{'color': 'red', 'id': 2, 'px': 328, 'py': 362, 'depth': 0.9801084061625366}, {'color': 'green', 'id': 3, 'px': 362, 'py': 320, 'depth': 0.9824319295776508}, {'color': 'blue', 'id': 4, 'px': 344, 'py': 385, 'depth': 0.9785950613212603}, {'color': 'yellow', 'id': 5, 'px': 270, 'py': 376, 'depth': 0.97765620320617}, {'color': 'black', 'id': 6, 'px': 329, 'py': 318, 'depth': 0.982817363238629}, {'color': 'pink', 'id': 7, 'px': 284, 'py': 326, 'depth': 0.9817204367831299}]"
8,yellow,NO_PROJECTION_MATCH,,"[308, 348, 319, 361]","{'red': (0.5391480054465109, 0.01684700052270216, 0.16231413486143076), 'green': (0.5682738331600461, -0.08613522302609333, 0.1694229356859752), 'blue': (0.4706914712442071, -0.09320799765563928, 0.1594772505113687), 'yellow': (0.47867557762607654, 0.0834683263251779, 0.1336593730719478), 'black': (0.5902505666241895, -0.09122945150953153, 0.1746527870019403), 'pink': (0.46700950056323837, 0.051028495305906696, 0.1315797038612619)}","[{'color': 'red', 'id': 2, 'px': 328, 'py': 340, 'depth': 0.9804659781666866}, {'color': 'green', 'id': 3, 'px': 274, 'py': 350, 'depth': 0.9791804166454025}, {'color': 'blue', 'id': 4, 'px': 276, 'py': 316, 'depth': 0.9828276391542848}, {'color': 'yellow', 'id': 5, 'px': 358, 'py': 327, 'depth': 0.9830968986279061}, {'color': 'black', 'id': 6, 'px': 270, 'py': 358, 'depth': 0.9781376422122459}, {'color': 'pink', 'id': 7, 'px': 343, 'py': 324, 'depth': 0.9834856961390336}]"
9,pink,SUCCESS,pink,"[245, 283, 315, 354]","{'red': (0.5773693369104852, 0.030071380759445987, 0.18336286643958943), 'green': (0.5492810258711167, 0.03733713286430865, 0.1852985038816311), 'blue': (0.5894033557499397, 0.11608672519270472, 0.1782066330998431), 'yellow': (0.4802513390159586, 0.028206056054695783, 0.13668609311064853), 'black': (0.5782191821046463, 0.0874480898474646, 0.1306534721732035), 'pink': (0.4921918524986104, -0.1200310558651263, 0.12468670223848191)}","[{'color': 'red', 'id': 2, 'px': 336, 'py': 349, 'depth': 0.9784414205627362}, {'color': 'green', 'id': 3, 'px': 339, 'py': 336, 'depth': 0.9795213873213834}, {'color': 'blue', 'id': 4, 'px': 383, 'py': 356, 'depth': 0.978075380502535}, {'color': 'yellow', 'id': 5, 'px': 333, 'py': 327, 'depth': 0.9829890996764343}, {'color': 'black', 'id': 6, 'px': 365, 'py': 367, 'depth': 0.9797751130291812}, {'color': 'pink', 'id': 7, 'px': 264, 'py': 335, 'depth': 0.9828620154948531}]"
