sample,color,gt_box,pred_box,IoU,center_err,contrast,bbox_pixel_area,failure_type,predicted_color
sample_0000,red sphere,"[439, 351, 21, 18]","[439.6572494506836, 351.8874263763428, 22.86323308944702, 22.990084290504456]",0.7191,1.1,105.9059,378,Good,red sphere
sample_0000,green sphere,"[257, 309, 19, 13]","[376.34185791015625, 374.5091915130615, 23.60274076461792, 25.354979038238525]",0.0,136.14,85.1222,247,Miss,other
sample_0000,blue sphere,"[339, 309, 19, 13]","[339.2530822753906, 309.7599792480469, 19.732474088668823, 19.133970737457275]",0.6542,0.8,102.8551,247,Good,blue sphere
sample_0000,yellow sphere,"[376, 374, 23, 20]","[376.3175964355469, 374.487361907959, 23.532605171203613, 25.32467544078827]",0.7688,0.58,93.7326,460,Good,yellow sphere
sample_0001,red sphere,"[281, 391, 24, 22]","[281.64636611938477, 392.3726177215576, 24.618830680847168, 27.6216459274292]",0.7573,1.52,97.0555,528,Good,red sphere
sample_0001,green sphere,"[347, 321, 20, 15]","[425.83621978759766, 327.27049827575684, 20.85967779159546, 20.732983946800232]",0.0,79.09,104.3512,300,Miss,other
sample_0001,blue sphere,"[205, 400, 25, 23]","[205.05918502807617, 400.8680248260498, 26.16002321243286, 28.217141032218933]",0.779,0.87,95.5822,575,Good,blue sphere
sample_0001,yellow sphere,"[426, 327, 20, 16]","[425.8271026611328, 327.2196292877197, 20.79026460647583, 20.76027274131775]",0.7414,0.28,94.1338,320,Good,yellow sphere
sample_0002,red sphere,"[274, 326, 20, 15]","[274.1880798339844, 327.0073413848877, 20.397071838378906, 20.565426349639893]",0.7152,1.02,92.2613,300,Good,red sphere
sample_0002,green sphere,"[398, 314, 19, 14]","[398.14796447753906, 314.39443588256836, 19.62597131729126, 19.83635723590851]",0.6833,0.42,104.1849,266,Good,green sphere
sample_0002,blue sphere,"[254, 286, 17, 12]","[254.58745956420898, 286.34631156921387, 18.16375494003296, 17.85963535308838]",0.6285,0.68,87.2493,204,Good,blue sphere
sample_0002,yellow sphere,"[223, 284, 17, 12]","[223.25679779052734, 284.10449981689453, 17.808077335357666, 18.051917552947998]",0.6346,0.28,88.3654,204,Good,yellow sphere
sample_0003,red sphere,"[324, 307, 19, 13]","[324.1722106933594, 307.71955490112305, 19.484598636627197, 18.9932781457901]",0.6674,0.74,96.594,247,Good,red sphere
sample_0003,green sphere,"[380, 353, 21, 18]","[379.8159408569336, 353.2759380340576, 22.206218242645264, 23.736138939857483]",0.7171,0.33,101.8382,378,Good,green sphere
sample_0003,blue sphere,"[441, 335, 21, 16]","[441.7565155029297, 336.07269287109375, 21.291403770446777, 21.68076753616333]",0.6921,1.31,106.3571,336,Good,blue sphere
sample_0003,yellow sphere,"[363, 304, 19, 13]","[362.86380767822266, 304.709415435791, 18.532634973526, 18.92795205116272]",0.6751,0.72,93.9509,247,Good,yellow sphere
sample_0004,red sphere,"[254, 344, 21, 17]","[254.4890022277832, 344.95293617248535, 21.823458671569824, 22.77092456817627]",0.7139,1.07,92.5921,357,Good,red sphere
sample_0004,green sphere,"[438, 390, 24, 22]","[438.8450241088867, 390.3819179534912, 25.014243125915527, 26.799976229667664]",0.768,0.93,104.584,528,Good,green sphere
sample_0004,blue sphere,"[251, 318, 20, 14]","[251.14593505859375, 318.0663299560547, 20.383851528167725, 20.515313744544983]",0.6696,0.16,83.992,280,Good,blue sphere
